Title,Time Period,Composer,VocalRange,Class,Key,Highest Note,Lowest Note,Runtime of Song,Language,Genre,Assignee Name,
Sure on This Shining Night,1938 (Neo-Romantic),Barber,Vocal All,A,Bb,G5,D4,2:28,English,Classical,Shanaya,
Tell Me No More,1700 (Baroque),Blow,Vocal All,A,Eb,D5,Bb3,N/A,English,Classical,Shanaya,
Per la gloria d'adorarvi (High),1722 (Baroque),Bononcini,Vocal All,A,G,G5,E4,3:00,Italian,Classical,Shanaya,
Per la gloria d'adorarvi (Low),1723 (Baroque),Bononcini,Vocal All,A,D,D5,Bb3,3:00,Italian,Classical,Shanaya,
Wie Melodien zieht es mir,1886 (Romantic),Brahms,Vocal All,A,C,N/A,N/A,N/A,German,Classical,Shanaya,
Wade in de Water (High),1860s (Civil War Era),H.T. Burleigh,Vocal All,A,Fm,N/A,N/A,1:49,English,Spiritual,Shanaya,
Wade in de Water (Low),1860s (Civil War Era),H.T. Burleigh,Vocal All,A,Dm,F5,A3,1:49,English,Spiritual,Shanaya,
"Amarilli, mia bella (High)",1602 (Baroque),Caccini,Vocal All,A,Gm,E5,D4,2:48,Italian,Classical,Shanaya,
"Amarilli, mia bella (Medium)",1602 (Baroque),Caccini,Vocal All,A,Fm,D5,C4,2:48,Italian,Classical,Shanaya,
"Amarilli, mia bella (Low)",1602 (Baroque),Caccini,Vocal All,A,Em,C#5,B3,2:48,Italian,Classical,Shanaya,
Alma del core (High),1710 (Baroque),Caldara,Vocal All,A,A,,,2:48,Italian,Classical,,
Alma del core (Medium),1710 (Baroque),Caldara,Vocal All,A,G,,,2:48,Italian,Classical,,
Alma del core (Medium),1710 (Baroque),Caldara,Vocal All,A,E,,,2:48,Italian,Classical,,
Alma del core (Low),1710 (Baroque),Caldara,Vocal All,A,D,,,2:48,Italian,Classical,,
"Danza, Danza (Medium)",1772 (Baroque),Durante,Vocal All,A,Bbm,,,,Italian,Classical,,
"Danza, Danza (High)",1772 (Baroque),Durante,Vocal All,A,Bm,,,,Italian,Classical,,
"Danza, Danza (Low)",1772 (Baroque),Durante,Vocal All,A,Gm,,,,Italian,Classical,,
Apres un Reve (High),1878 (Romantic),Faure,Vocal All,A,Dm,,,2:40,French,Classical,,
Apres un Reve (Low),1878 (Romantic),Faure,Vocal All,A,Bm,,,2:40,French,Classical,,
Aurore,1884 (Romantic),Faure,Vocal All,A,E,,,,French,Classical,,
O del mio dolce ardor (High),1769 (Classical),Gluck,Vocal All,A,Fm,,,3:20,Italian,Aria,Jack,
O del mio dolce ardor (Low),1769 (Classical),Gluck,Vocal All,A,Dm,,,3:20,Italian,Aria,Jack,
Come and Trip It (Vocal All),1740 (Baroque),Handel,Vocal All,A,Gm,E5,B3,2:28,English,Classical,Jack,
Ride On King Jesus (High),1800s (Romantic),Johnson,Vocal All,A,Eb,,,2:15,English,Spiritual,Jack,
Ride On King Jesus (Low),1800s (Romantic),Johnson,Vocal All,A,Db,,,2:15,English,Spiritual,Jack,
"Blow, Blow Thou Winter Wind (Vocal All)",1740 (Baroque),Arne,Vocal All,A,Eb,,,2:10,English,Classical,Jack,
Gia il sole dal Gange (High),1700 (Baroque),Scarlatti,Vocal All,A,Ab,,,2:15,Italian,Aria,Jack,
Gia il sole dal Gange (Low),1700 (Baroque),Scarlatti,Vocal All,A,Eb,,,2:15,Italian,Aria,Jack,
"Pieta, Signore! (High)",1650 (Baroque),Stradella,Vocal All,A,Dm,,,5:00,Italian,Aria,Jack,
"Pieta, Signore! (Low)",1650 (Baroque),Stradella,Vocal All,A,Am,,,5:00,Italian,Aria,Jack,
Zueignung,1883 (Romantic),Richard Strauss,Vocal All,A,C,F5,E4,,German,Classical,Sam,
Zueignung,1883 (Romantic),Richard Strauss,Vocal All,A,Ab,N/A,N/A,,German,Classical,Sam,
Tu lo sai (High),1709 (Baroque),Torelli,Vocal All,A,E,N/A,N/A,2:28,Italian,Classical,Sam,
Tu lo sai (Low),1709 (Baroque),Torelli,Vocal All,A,C,D5,C4,2:30,Italian,Classical,Sam,
Silent Noon (High),1903 (English Romantic),Vaughan Williams,Vocal All,A,Eb,N/A,N/A,3:34,English,Classical,Sam,
Silent Noon (Low),1903 (English Romantic),Vaughan Williams,Vocal All,A,Db,,,,English,Classical,Sam,
Star Vicino (High),1665 (Baroque),Anonymous,Vocal All,B,G,E5(G5),G4,,Italian,Classical,Sam,
Star Vicino (Low),1665 (Baroque),Anonymous,Vocal All,B,Eb,Bb4(Eb5,Bb3,,Italian,Classical,Sam,
Whither Runneth My Sweetheart?,1606 (Renaissance),Bartlet,Vocal All,B,Eb,,,,English,Classical/Madrigal,Sam,
"Deep River (High, Vocal All)",1700s (Romantic),Burleigh,Vocal All,B,F,,,,English,Spiritual,Sam,
"Deep River (Low, Vocal All)",1700s (Romantic),Burleigh,Vocal All,B,C,E5,G3,2:20,English,Spiritual,Emma,
"My Lord, What a Mornin' (High)",1700s (Romantic),Burleigh,Vocal All,B,F,F5,F4,2:53,English,Spiritual,Emma,
"My Lord, What a Mornin' (Low)",1700s (Romantic),Burleigh,Vocal All,B,Db,,,,English,Spiritual,Emma,
Were You There? (High),1800s (Romantic),H.T. Burleigh,Vocal All,B,Ab,,,,English,Spiritual,Emma,
Were You There? (Low),1800s (Romantic),H.T. Burleigh,Vocal All,B,Eb,Eb5,Bb3,2:39,English,Spiritual,Emma,
"Sebben, crudele (High)",1600s (Baroque),Caldara,Vocal All,B,Em,E5,E4,2:21,Italian,Classical,Emma,
"Sebben, crudele (Low)",1600s (Baroque),Caldara,Vocal All,B,Cm,C5,C4,2:31,Italian,Classical,Emma,
At the River,1952 (Neoclassical),Copland,Vocal All,B,Eb,E5,E4,2:16,English,Classical,Emma,
The Boatman's Dance,1840/1950 (American Folk),Copland,Vocal All,B,E,F#5,E4,2:49,English,Folk,Emma,
The Little Horses,1952 (American Folk),Copland,Vocal All,B,Em,N/A,N/A,2:39,English,Folk,Emma,
Zion's Walls,1835 (Romantic),Copland,Vocal All,B,F,F5,C4,2:03,English,Folk Hymn,Yasmeen,
The Loveliest of Trees (High),1895/1986 (Romantic),Duke,Vocal All,B,Ab,F5,D4,N/A,English,Classical Art,Yasmeen,
The Loveliest of Trees (Low),1895/1986 (Romantic),Duke,Vocal All,B,F,Db5,C4,1:43,English,Classical Art,Yasmeen,
"Vergin, tutto amor (High)",1600s (Baroque),Durante,Vocal All,B,Cm,Eb5,D4,2:30,Italian,Classical,Yasmeen,
"Vergin, tutto amor (Low)",1600s (Baroque),Durante,Vocal All,B,Am,,,2:44,Italian,Classical,Yasmeen,
Verdi prati,1735 (Baroque),Handel,Vocal All,B,Eb,,,,Italian,Baroque Opera,Yasmeen,
The Beatitudes,1938 (Neo-Romantic),Malotte,Vocal All,B,G,G5,F4,2:11,English,Sacred,Yasmeen,
Lasciatemi morire! (High),1608 (Baroque),Monteverdi,Vocal All,B,Fm,F5,F4,1:22,Italian,Opera,Yasmeen,
Lasciatemi morire! (Low),1608 (Baroque),Monteverdi,Vocal All,B,Cm,C4,C5,1:20,Italian,Opera,Yasmeen,
Lasciatemi morire! (Medium),1608 (Baroque),Monteverdi,Vocal All,B,Dm,C4,B5,1:22,Italian,Opera,Yasmeen,
Sento nel core (High),1600s/1700s (Baroque),Scarlatti,Vocal All,B,Em,F5,E4,N/A,Italian,Classical,Mae,
Sento nel core (Low),1600s/1700s (Baroque),Scarlatti,Vocal All,B,Dm,E5,D4,N/A,Italian,Classical,Mae,
All The Pretty Little Horses (High),1900s (Modern),Zaninelli,Vocal All,B,Fm,Eb5,C4,2:01,English,Folk,Mae,
All The Pretty Little Horses (Low),1900s (Modern),Zaninelli,Vocal All,B,Dm,D5,A3,2:01,English,Folk,Mae,
Go 'Way From My Window (High),1900s (Modern),Zaninelli,Vocal All,B,C,E5,C4,N/A,English,Folk,Mae,
Go 'Way From My Window (Low),1900s (Modern),Zaninelli,Vocal All,B,A,C5,A3,N/A,English,Folk,Mae,
Nobody Knows de Trouble I've Seen (High),1860s (Civil War Era),Burleigh,Vocal All,C,Ab,G3,E4,N/A,English,Spiritual,Mae,No track
Nobody Knows de Trouble I've Seen (Low),1860s (Civil War Era),Burleigh,Vocal All,C,F,C5,C4,N/A,English,Spiritual,Mae,No track
Sometimes I Feel Like a Motherless Child,1860s (Civil War Era),Burleigh,Vocal All,C,Am,N/A,N/A,N/A,English,N/A,Mae,
Ching-A-Ring Chaw,1840s/1952 (American Folk),Copland,Vocal All,C,D,D5,D4,1:44,English,American Minstrel,Mae,This should probably be removed.
Long Time Ago,1837/1950 (American Folk),Copland,Vocal All,C,Bb,F5,F4,2:33,English,Folk,Andy,
Simple Gifts (Copland),1848 (Shaker/Folk),Copland,Vocal All,C,Ab,N/A,N/A,1:57,English,Folk,Andy,
There is a Balm in Gilead (High),1800s (Romantic),Dawson,Vocal All,C,Ab,N/A,N/A,2:52,English,Spiritual,Andy,
There is a Balm in Gilead (Low),1800s (Romantic),Dawson,Vocal All,C,F,N/A,N/A,2:52,English,Spiritual,Andy,
Into the Night (Low),1900s (Modern),Edwards,Vocal All,C,Eb,N/A,N/A,2:43,English,Classical,Andy,
Into the Night (High),1900s (Modern),Edwards,Vocal All,C,G,N/A,N/A,3:43,English,Classical,Andy,
Greensleeves (Vocal All),1590s (Renaissance),N/A,Vocal All,C,G,N/A,N/A,2:42,English,Folk,Andy,
To the Sky (High),1900s (Modern),Strommen,Vocal All,C,Bb,G5,F4,2:26,English,Folk,Andy,
To the Sky (Medium),1900s (Modern),Strommen,Vocal All,C,Ab,F5,E4,2:04,English,Folk,Andy,
To the Sky (Low),1900s (Modern),Strommen,Vocal All,C,F,D5,C4,2:36,English,Folk,Andy,
Panis Angelicus (High),1872 (Romantic),Franck,Vocal All,C,G,,,N/A,Latin,Classical,Leland,No tracks
Panis Angelicus (Low),1872 (Romantic),Franck,Vocal All,C,F,,,N/A,Latin,Classical,Leland,No tracks
Dedication (High),1885 (Late Romantic),Franz,Vocal All,C,Ab,,,1:09,English,Classical,Leland,
Dedication (Low),1885 (Late Romantic),Franz,Vocal All,C,F,,,1:09 (n/a),English,Classical,Leland,No track for this key
Caro mio ben (High),1780 (Classical),Giordani,Vocal All,C,Eb,,,2:40,Italian,Classical,Leland,
Caro mio ben (Low),1780 (Classical),Giordani,Vocal All,C,C,D5,C4,2:40,Italian,Classical,Jack,
In Sherwood Lived Stout,1800s (Victorian),Jones,Vocal All,C,Eb,,,1:17,English,Folk,Jack,
Homeward Bound (High),1900s (Modern),Keen,Vocal All,C,F,,,2:58,English,Folk,Jack,
Homeward Bound (Medium),1900s (Modern),Keen,Vocal All,C,Eb,,,2:58,English,Folk,Jack,
Homeward Bound (Low),1900s (Modern),Keen,Vocal All,C,D,,,2:58,English,Folk,Jack,
I Wonder as I Wander (High),1900s (Modern),Niles,Vocal All,C,Cm,N/A,N/A,N/A,English,Folk,Mae,No tracks & No Music for Cm
I Wonder as I Wander (Low),1900s (Modern),Niles,Vocal All,C,Gm,D5,Bb3,N/A,English,Folk,Mae,No tracks
Danny Boy (High),1900s (Romantic),Old Irish Air,Vocal All,C,F,A5,D4,2:53,English,Folk,Mae,Music is cut off in the scan
Danny Boy (Medium),1900s (Romantic),Old Irish Air,Vocal All,C,D,H,L,2:53,English,Folk,Mae,
Danny Boy (Low),1900s (Romantic),Old Irish Air,Vocal All,C,C,,,2:53,English,Folk,Mae,
It Was A Lover and His Lass (Quilter),1900s (Modern),Quilter,Vocal All,C,Ab,,,N/A,English,Classical,Sam,No tracks
When Laura Smiles,1623 (Renaissance),Rosseter,Vocal All,C,F,,,N/A,English,Classical,Sam,No tracks
This Little Rose (High),1900s (Modern),Roy,Vocal All,C,F,,,N/A,English,Classical,Sam,No tracks
This Little Rose (Low),1900s (Modern),Roy,Vocal All,C,C,,,N/A,English,Classical,Sam,No tracks
Loch Lomond,1841 (Romantic),Scottish Folk Song,Vocal All,C,Eb,,,N/A,English,Folk,Sam,No tracks
The Ash Grove,1800s (Romantic),Welsh Folk Song,Vocal All,C,F,N/A,N/A,N/A,English,Welsh Folk,Andy,No tracks & No Music
The Water is Wide (High),1900s (Modern),Zaninelli,Vocal All,C,A,E5,E4,N/A,English,folk,Andy,No tracks
The Water is Wide (Low),1900s (Modern),Zaninelli,Vocal All,C,F,C5,C4,N/A,English,folk,Andy,No tracks
The Lass with the Delicate Air,1762 (Classical),Arne,Soprano,A,G,G5,D4,N/A,English,Classical,Andy,No tracks
Quia Respexit,1723 (Baroque),Bach,Soprano,A,Bm,F#5,D4,N/A,Latin,classical,Andy,No tracks
Labbandono,1830 (Romantic),Bellini,Soprano,A,Gm,N/A,N/A,N/A,italian,aria,Andy,No tracks & No Music
La vezzosa pastorella,1780 (Classical),Bruni,Soprano,A,G,A5,F#4,N/A,Italian,Aria,Andy,No tracks
Everywhere I Look,1900s (Modern),Carew,Soprano,A,F,G5,C4,N/A,English,Folk,Andy,No tracks
Intorno all' idol mio,1649 (Baroque),Cesti,Soprano,A,Em,F5,D4,N/A,Italian,Classical,Andy,No tracks
The Bird,1946 (Modern),Duke,Soprano,A,Em,A5,F#4,N/A,English,Folk,Andy,No tracks
Chanson D'Amour,1882 (Late Romantic),Faure,Soprano,A,G,,,2:16,French,Mélodie/Classic,Emma,
Pie Jesu,1887 (Late Romantic),Faure,Soprano,A,Bb,F5,E4,2:50,Latin,Sacred Classical,Emma,
La belle au bois dormant,1880 (Medieval/Late Romantic),Fourdrain,Soprano,A,Gm,G5,D4,2:51,French,Folklore,Emma,
El Majo Discreto,1916 (Late Romantic),Granados,Soprano,A,A,A5,E(C#)4,1:34,Spanish,Classical/Tonadilla,Emma,
El Mirar De La Maja,1910 (Spanish Romanticism),Granados,Soprano,A,Ab,A5,F4,2:41,Spanish,Classical Folk/Tonadilla,Emma,
Solvejgs Lied,1876 (Romantic),Grieg,Soprano,A,Am,A5,E4,4:30,German,Classical/Folk,Emma,
Le rossignol des lilas,1947 (Post-Romantic),Hahn,Soprano,A,Ab,F5 (A5),Eb4,2:03,French,Mélodie/Classic,Emma,
Si Mes Vers Avaient Des Ailes,1888 (Late Romantic),Hahn,Soprano,A,E,G#5,C#4,1:42,French,Mélodie/Classic,Emma,
J'ai pleure en reve,1856 (Romantic),Hue,Soprano,A,F#m,,,1:46,French,Mélodie/Classic,Emma,
The Green Dog,1939 (Modern),Kingsley,Soprano,A,Eb,G5,Eb4,1:11,English,Classical,Emma,
Il mio bel foco (Soprano),1700 (Baroque),Marcello,Soprano,A,Am,,,,Italian,Classical,Shanaya,
Das Veilchen,1785 (Classical),Mozart,Soprano,A,G,,,,German,Classical,Shanaya,
"Deh vieni, non tardar",1786 (Classical),Mozart,Soprano,A,F,A5,A3,,Italian,Classical,Shanaya,
"Corazon, porque passais",1921 (Modern),Obradors,Soprano,A,E,E5,E4,,Spanish,Classical,Shanaya,
Se Tu M'ami (Soprano),1730 (Baroque),Pergolesi,Soprano,A,Gm,,,,Italian,Classical,Shanaya,
O mio babbino caro,1918 (Romantic),Puccini,Soprano,A,Ab,,,,Italian,Classical,Shanaya,
Song of the Blackbird,1900s (Modern),Quilter,Soprano,A,C,G5,E4,,English,,Shanaya,
Du bist die Ruh,1823 (Romantic),Schubert,Soprano,A,Eb,,,,German,Classical,Shanaya,
The River in the Pines,1900s (Modern),Stanley,Soprano,A,Fm,,,,English,,Shanaya,
Die Nacht,1885 (Romantic),Strauss,Soprano,A,D,G5,C#4,,German,Classical,Shanaya,
Morgen,1894 (Romantic),Strauss,Soprano,A,G,,,,German,,,
Come l'all odoletta,1918 (Modern),Donaudy,Soprano,B,Gm,,,1:55,Italian,,,
Come Again Sweet Love,1597 (Renaissance),Dowland,Soprano,B,A,,,2:23,English,,,
To a Little Child,1900s (Modern),Edwards,Soprano,B,Ab,,,,English,,,
Asturiana (Soprano),1914 (Modern),de Falla,Soprano,B,Am,E5,G#4,,Spanish,,Shanaya,
The Fields are Full,1920 (Modern),Gibbs,Soprano,B,Gb,,,,English,Classical,Shanaya,
El Majo Timido (Soprano),1916 (Romantic),Granados,Soprano,B,D,F#5,D4,,Spanish,Classical,Shanaya,
El Tra La La Y El Punteado,1916 (Romantic),Granados,Soprano,B,A,G5,E4,,Spanish,Classical,Shanaya,
My Johann,1870 (Romantic),Grieg,Soprano,B,G,G5(A5),D4,,English,Classical,Shanaya,
Bel Piacere,1709 (Baroque),Handel,Soprano,B,G,G5,D4,2:07,Italian,Classical,Shanaya,
"Maman, dites-moi",1700s (Classical),Jean-Baptiste,Soprano,B,Dm,F#5,D4,,French,Classical,Shanaya,
La Paloma Blanca,1900s (Modern),Kilenyi,Soprano,B,Ab,F5,E4,,Spanish,Classical,Shanaya,
Mi Sueno,1900s (Modern),Kilenyi,Soprano,B,Em,G5,D#4,,Spanish,Classical,Shanaya,
Nel cor piu non mi sento,1788 (Classical),Paisiello,Soprano,B,F,,,,Italian,Classical,Shanaya,
Weep you no more (Soprano),1900s (Modern),Quilter,Soprano,B,Fm,,,,English,,Shanaya,
American Lullaby (Soprano),1932 (Modern),Rich,Soprano,B,F,F5,C4,2:19,English,,Shanaya,
Bury Me Beneath The Willow,1900s (Traditional),Stanley,Soprano,B,A,,,,English,,Shanaya,
Let Us Break Bread Together (Walters),1800s (Traditional),Walters,Soprano,B,G,F#5 (G5),D4,,English,,Shanaya,
Once I Had a Sweetheart,1800s (Traditional),Walters,Soprano,B,Gm,G5,C4,,English,,Shanaya,
Wayfaring Stranger (Soprano),1800s (Traditional),Walters,Soprano,B,Dm,,,,English,,,
Amazing Grace (Soprano),1779 (Classical),Althouse,Soprano,C,G,,,2:35,English,,,
Wiegenlied (Soprano),1868 (Romantic),Brahms,Soprano,C,Eb,,,,English?,,,
Drink to Me Only with Thine Eyes (Soprano),1700s (Classical),Old English,Soprano,C,Eb,,,,English,,,
"Go, Tell It on the Mountain",1865 (Traditional),Dean,Soprano,C,G,,,,English,,,
Florian's Song,1800s (Romantic),Godard,Soprano,C,D,,,,English,,,
Where E'er You Walk (Soprano),1744 (Baroque),Handel,Soprano,C,G,,,,English,folk,Jack,
Evening Prayer,1893 (Romantic),Humperdinck,Soprano,C,D,,,,English,spiritual,Jack,
On Wings of Song (Soprano),1834 (Romantic),Mendelssohn,Soprano,C,Ab,,,,English,folk,Jack,
What Songs Were Sung (Soprano),1900s (Modern),Niles,Soprano,C,Dm,,,,English,folk,Jack,
When Love Is Kind (Soprano),1800s (Romantic),Old English,Soprano,C,Ab,,,,English,,Jack,
Let Us Break Bread Together (Ruck),1800s (Traditional),Ruck,Soprano,C,F,,,,English,,Jack,
Butterflies,1800s (Romantic),Schulz-Reimann,Soprano,C,A,,,,English,,Jack,
She's Like the Swallow,1900s (Modern),Strommen,Soprano,C,Dm,,,,English,,Jack,
Single Girl,1800s (Traditional),Walters,Soprano,C,G,,,,English,,Jack,
For You There is No Song,1900s (Modern),Adams,Mezzo Soprano,A,Bbm,F5,Bb3,,English,,Shanaya,
Must the Winter Come So Soon,1958 (Modern),Barber,Mezzo Soprano,A,Fm,,,,English,,Shanaya,
Song of Devotion,1900s (Modern),Beck,Mezzo Soprano,A,A,,,,English,,Shanaya,
L'amour est un oiseau,1875 (Romantic),Bizet,Mezzo Soprano,A,Dm,F#5,D4,,French,,Shanaya,
Charmant Papillon,1716 (Baroque),Campra,Mezzo Soprano,A,Gm,G5,D4,,French,,Shanaya,
Faites lui mes aveux,1859 (Romantic),Gounod,Mezzo Soprano,A,C,G5,D4,,French,,Shanaya,
At the Cry of the First Bird,1900s (Modern),Guion,Mezzo Soprano,A,Bm,,,,English,,Shanaya,
Come and Trip It (Vocal All),1740 (Baroque),Handel,Mezzo Soprano,A,Gm,E5,B3,2:28,English,Classical,Shanaya,
"Voi, che sapete",1786 (Classical),Mozart,Mezzo Soprano,A,Bb,F5,C4,,Italian,,Shanaya,
Se Tu M'ami (Low),1730 (Baroque),Pergolesi,Mezzo Soprano,A,Em,E5,A3,,Italian,Classical,Shanaya,"only scanned in Em, not in Gm"
Voce di donna,1876 (Romantic),Ponchielli,Mezzo Soprano,A,Eb,G5,A3,,Italian,,Shanaya,
If Music Be the Food of Love,1692 (Baroque),Purcell,Mezzo Soprano,A,Gm,G5,F4,,English,Classical,Shanaya,
Nymphs and Shepherds,1692 (Baroque),Purcell,Mezzo Soprano,A,F,F5,C4,,English,,Shanaya,
"Blow, Blow Thou Winter Wind (Mezzo Soprano)",1740 (Baroque),Arne,Mezzo Soprano,A,Ab,Ab5,Eb4,1:52,English,Classical,Shanaya,
